name,category,expertise,address/state,address/street/0,address/neighborhood,address/city,address/phone,description,operation,price_avg,payment_methods/credit_card/0,payment_methods/credit_card/1,payment_methods/credit_card/2,payment_methods/credit_card/3,payment_methods/debit_card/0,payment_methods/debit_card/1,payment_methods/debit_card/2,services/0,services/1,services/2,location/lat,location/lng,payment_methods/credit_card/4,services/3,services/4,services/5,rating,vote_count
Lacomex,Comidinhas,Vinhos,PE,"Rua José da Silva Lucena, 273",Imbiribeira,Recife,(81) 3081-2133/2111,"Nas duas unidades, um sommelier orienta na escolha dos 700 rótulos provenientes de dez países. Da América do Sul, uma sugestão é o argentino Norton Perdriel Collection Malbec 2010 (R$ 78,00), produzido na região de Mendoza. De Portugal vem o alentejano Cortes de Cima 2011 (R$ 82,00). Espumantes, a exemplo do francês provençal Cuvée Laurent Brut (R$ 50,00), também figuram no estoque. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",9h/19h (sáb. até 14h; fecha dom.),39,American Express,Mastercard,Visa,,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0789162,-34.9400126,,Estacionamento,,,2.7,231
Amazônia Mix,Comidinhas,Açaí,PE,"Rua Doutor Nilo Dornelas Câmara, 119E",Boa Viagem,Recife,98805-7022,"Além do tradicional açaí na tigela, com morango e granola (R$ 14,50, 500 mililitros), a rede serve uma versão no copo, batida com banana e leite em pó e coberta por calda de morango, chocolate ou leite condensado (R$ 10,00, 500 mililitros). Entre as opções de sanduíches, faz sucesso a baguete, que pode ser integral ou com gergelim (R$ 8,90). Ela ganha recheio de pasta de frango, atum ou peito de peru, uma fatia de queijo e salada de alface, tomate, milho e ervilha. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",16h/23h,45,Mastercard,Visa,,,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,,-8.1315875,-34.9012399,,,,,1.02,167
Vic's Hot Dog Gourmet,Comidinhas,Sanduíches,PE,"Rua José Clementino, 96",Graças,Recife,3427-9108,"Particularidade da casa, os cachorros-quentes podem vir em dois tamanhos (15 e 30 centímetros) e cobertos de mussarela derretida com maçarico. Além dos ingredientes básicos, o tex mex (R$ 13,90 o menor e 22,90 o maior) tem molho de carne moída picante. No retrô dog, a salsicha vem triturada com carne moída (R$ 11,40 e R$ 18,90), e, no yummy dog, acompanhada de molho de queijo parmesão e cebola caramelizada (R$ 11,90 e R$ 19,99). Todos são acompanhados de batata frita. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",10h/23h (dom. a partir de 17h),56,Hipercard,Mastercard,Visa,,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0379038,-34.9036951,,Estacionamento,,,3.67,180
Com.Pão Delicatessen,Comidinhas,Padarias,PE,"Avenida Conselheiro Rosa e Silva, 1167",Aflitos,Recife,(81) 3242-4242,"A especialidade são os sanduíches de metro (R$ 45,00 o quilo), que ganharam duas versões: no pão italiano, com recheio de linguiça fina mista, requeijão, mussarela, acelga e tomate, e no australiano, com mussarela, peito de peru, cenoura ralada, queijo cremoso e alface. Aos domingos, entre 7h e 11h, o anexo lota para o café da manhã. A superomelete (R$ 7,00, para duas pessoas), feita com presunto, queijo, tomate e cebola, é um dos itens mais pedidos. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",6h/21h (dom. e feriados 7h/20h),23,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0412005,-34.900661,Visa,Estacionamento,Valet/Manobrista,,4.75,22
Giro Burgueria e Pizzaria,Comidinhas,Sanduíches,PE,"Avenida Conselheiro Aguiar, 3939",Boa Viagem,Recife,3032-1100,"Composto de três hambúrgueres bovinos de 90 gramas cada um, mussarela, alface, tomate e maionese, o giro triplo (R$ 19,80) é um dos sanduíches mais substanciosos do cardápio. As pizzas assadas em forno a lenha também fazem sucesso, a exemplo da que leva frango, catupiry, requeijão, mussarela e azeitona (R$ 39,90, oito fatias). Na hora do almoço, o cardápio oferece pratos como o filé à parmigiana, guarnecido de espaguete e purê (R$ 23,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/2h (sex. e sáb. até 5h),73,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,,-8.1227861,-34.8983006,Visa,,,,3.78,285
Max Burguer,Comidinhas,Sanduíches,PE,"Rua do Futuro, 436",Aflitos,Recife,98729-8919,"Frequentadores mais antigos encontram-se com jovens saindo da balada na hora de saborear o max filezão (R$ 18,00), preparado com filé-mignon e cheddar, ou o max frangão (R$ 16,00), que leva filé de frango e queijo prato. Presunto, alface, tomate, batata palha e o famoso creme de milho da casa acompanham as receitas. Faz par com o sanduíche o milk-shake misto, que mistura sorvete de chocolate, morango e baunilha (R$ 6,00, 300 mililitros). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",20h/2h (qua. até 4h; qui. e sex. até 5h; sáb. até 6h; dom. até 3h),75,,,,,,,,Estacionamento,,,-8.040827,-34.8999738,,,,,4.93,297
Alpino's Confeitaria,Comidinhas,Docerias,PE,"Rua Sylo Bittencourt, 184",Boa Viagem,Recife,(81) 3341-8316,"Cerca de trinta tipos de tortas abastecem as vitrines da loja. Com massa de chocolate e recheios de leite condensado e chocolate, a de bem-casado (R$ 39,90 o quilo) é uma das preferidas. Assim como os doces de outros sabores, é feita também em versões míni, de 200 a 250 gramas, cobradas por peso. Entre os salgados há empadas de frango (R$ 3,00), frango com catupiry (R$ 4,00) e camarão (R$ 5,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",9h/18h (sáb. 9h/16h; fecha dom.),78,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Ar condicionado,Estacionamento,-8.1332011,-34.9100985,Visa,,,,1.43,150
Docecleta,Comidinhas,Comida de rua,PE,"Rua Padre Carapuceiro, 777",Boa Viagem,Recife,99679-6351,"As cinco bikes que circulam pelo Recife chamam a atenção pela decoração cuidadosa, com cestinhas que armazenam o produto e papéis de embrulho caprichados. Custa R$ 5,00 o brownie com coberturas como doce de leite com farinha láctea e Nutella com farofa de paçoca. Pelo mesmo preço há copinhos com a ""casquinha"" do doce - raspas da massa torradinha que fica no tabuleiro depois de assada. Outros pontos de venda são anunciados na página da marca no Facebook. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",13h/17h (fecha seg. a qua.),70,,,,,Maestro,Rede Shop,Visa Electron,,,,-8.1190974,-34.9069632,,,,,4.82,44
Malakoff Café Gourmet,Comidinhas,Cafés,PE,"Rua Alfredo Perereira Borba, 60 - loja 1",Prado,Recife,3128-0113,"Servido em canecas de ágata esmaltada nas cores da bandeira de Pernambuco, o café coado é preparado pelo barista Alan Cavalcanti, que explica aos clientes os métodos usados no preparo da bebida - como o globinho, a vácuo, e o aeropress (R$ 6,00 cada um). Coado no pano, o café preparado com grão arábica mineiro custa R$ 5,00. Um dos gelados é o chico science, com limão-siciliano e água com gás (R$ 9,50). Para comer, tem quiche de alho-poró (R$ 8,40), pão santa fé, com leite condensado e mel (R$ 8,90), e bolo de laranja (R$ 5,90 a fatia). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/21h (sáb. 15h/21h; fecha dom.),79,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0621695,-34.9133598,Visa,Estacionamento,,,3.08,209
Açaí no Ponto,Comidinhas,Açaí,PE,"Rua Padre Carapuceiro, 777 - Shopping Recife",Boa Viagem,Recife,3039-7467,"A franquia amazonense, que chegou ao Recife em 2012, já aportou em sete shoppings da região metropolitana. Vendido em três tamanhos, o açaí custa R$ 6,00 em sua versão menor, com 200 mililitros. A tigela de 500 mililitros (R$ 12,00) pode ganhar até três tipos de cobertura, como banana, mel e leite condensado, e mais três acompanhamentos, a exemplo da granola, farinha de tapioca e amendoim triturado. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",9h/22h (dom. 12h/21h),54,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Ar condicionado,Estacionamento,-8.120352,-34.9044827,Visa,,,,3.15,280
Vovó Nice,Comidinhas,Cafés,PE,"Rua José Bonifácio, 668",Torre,Recife,3032-0112,"Da decoração ao cardápio, tudo foi pensado para homenagear a avó da proprietária, que emprestou seu nome à casa. Muitos produtos são feitos no local - um deles é a geleia caseira de frutas vermelhas usada no preparo do frappuccino, que leva também sorvete de creme, expresso e chantili (R$ 13,00). O café Yaguara (R$ 4,50), orgânico de Taquaritinga do Norte (PE), é coado na frente do cliente. Para comer, tem crepe avani, com camarão, pesto de ervas e cebola caramelada (R$ 21,50). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h/20h (fecha dom.),63,Mastercard,Visa,,,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,,-8.0452682,-34.9094037,,,,,2.24,73
Tortaria,Comidinhas,Docerias,PE,"Rua das Pernambucanas, 265",Graças,Recife,(81) 3223-8867,"Fazem sucesso a torta de chocolate belga (R$ 69,99 o quilo) e os bolos de sabores como beijinho, amêndoa (R$ 64,99 o quilo de cada um) e lichia com cranberry (R$ 82,99 o quilo). Um dos docinhos é o romeu e julieta (chocolate branco, cream cheese e creme de goiaba, R$ 3,00). Na parte dos salgados, a novidade são os minifolhados de frango, bacalhau, camarão ou ricota com ervas (R$ 1,50 a unidade). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/20h (sáb. até 18h; fecha dom.),31,Dinners,Hipercard,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Ar condicionado,Valet/Manobrista,,-8.0509742,-34.9034921,,,,,4.49,282
Ganache,Comidinhas,Cafés,PE,"Avenida Engenheiro Domingos Ferreira, 1000 - loja 3",Boa Viagem,Recife,3025-1080,"Para acompanhar a cheesecake de frutas vermelhas (R$ 10,90 a fatia), servida com morangos frescos, há doze tipos de cafés - o mais pedido é o espumone de Nutella, com leite vaporizado (R$ 5,90). Preparada com camadas de bolo branco e de chocolate, musses de chocolate branco e preto e recheio de brigadeiro, a torta black and white custa R$ 10,90 a fatia. No almoço, há saladas como a de alface, palmito, peito de peru defumado, mussarela de búfala, uva-passa, alho e croûtons (R$ 16,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h/19h (fecha dom.),54,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Estacionamento,-8.0984484,-34.8867,,,,,1.42,295
Dolce Vitrine,Comidinhas,Docerias,PE,"Rua Dona Ada Vieira, 61",Casa Forte,Recife,3031-1112,"A novidade entre as mais de 150 sugestões de doces e salgados é o brigadeiro de brownie (R$ 2,20), com raspas de chocolate belga. Do cardápio também faz parte o doce de cartola (R$ 2,20), com massa de banana, queijo ralado e canela. Às quartas e quintas, de 16h às 20h30, há bufê (R$ 40,00 por pessoa) de chá da tarde com diversos quitutes, como croissants e escondidinho de macaxeira com charque. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",12h30/20h (fecha dom.),29,Mastercard,Visa,,,Maestro,Visa Electron,,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0384301,-34.9189388,,Atividades para crianças,Estacionamento,,3.16,164
As Galerias,Comidinhas,Sucos,PE,"Rua da Guia, 183",Recife Antigo,Recife,(81) 98890-5219,"O maltado (R$ 6,00, copo com 300 mililitros; R$ 10,00, 500 mililitros), feito com sorvete de creme e malte de cacau, é o carro-chefe da única lanchonete do Recife tombada como patrimônio cultural, gastronômico e imaterial. Pode acompanhar bolinho cubano (R$ 3,00), feito com trigo branco e coberto com calda de malte de cacau, castanha e amendoim. Uma alternativa de bebida é o creme de amendoim com leite (R$ 5,00 o copo de 300 mililitros). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",8h/21h (sáb. 14h30/22h),28,American Express,Hipercard,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,,,,-8.0612715,-34.8738995,,,,,3.19,88
Diplomata Delicatessen e Exclusive,Comidinhas,Padarias,PE,"Avenida Conselheiro Aguiar, 2154",Boa Viagem,Recife,(81) 3467-3739,"Novidade das três unidades, o sanduíche de metro (R$ 46,90 o quilo) pode vir na versão de pão ciabatta recheado de queijo prato, presunto, patê de mostarda, tomate seco e alface. Na ala de doces, são novos os brigadeiros gourmets (R$ 2,80 a unidade), como o de Leite Ninho e o de farinha láctea. O bolo de laranja, um dos preferidos da clientela, é vendido a R$ 35,90 o quilo. À tarde, tapiocas (R$ 5,90) preparadas na hora recebem recheios como coco e queijo. No Pina, há serviço de bufê para café da manhã e jantar (R$ 37,50 o quilo), além de almoço (R$ 47,50 o quilo). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",6h30/21h30 (dom. 7h30/20h),34,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.1085402,-34.892535,Visa,Estacionamento,Valet/Manobrista,,4.65,239
Donna Brigadeiro Patisserie,Comidinhas,Docerias,PE,"Rua do Futuro, 479",Graças,Recife,3038-9038,"Delicadeza é palavra de ordem na rede de docerias comandada por Paula Veloso e por sua sogra, Bete. O substantivo aplica-se à decoração dos espaços, pautada por tons de rosa, e às guloseimas de visual primoroso que enfeitam as vitrines. Sobressaem os brigadeiros, cuidadosamente arranjados de acordo com o sabor. São trinta variações, tão diversas quanto chocolate ao leite, pistache, doce de leite e amendoim coberto por uma fina camada de farofa de paçoca. Eles custam R$ 3,50 cada um, mesmo preço da versão romeu e julieta, preenchida de goiabada e boleada com queijo ralado. Também reluzem cupcakes e tortas, que todos os dias chegam fresquinhos do centro de produção instalado no bairro de Parnamirim. Entre os bolinhos, há a opção de baunilha recheada de doce de leite (R$ 8,90). Da segunda lista, a de bem-casado intercala em uma massa fofinha generosas camadas de musses de chocolates branco e ao leite. Ela é vendida por R$ 12,00 a fatia ou R$ 68,00 a versão inteira, com 1 quilo. Somam-se a esse mundaréu de delícias açucaradas algumas sugestões salgadas, caso do croque monsieur (R$ 16,90), receita francesa de sanduíche gratinado com molho bechamel. Para o desfecho, faz-se indispensável uma xícara de café expresso da marca italiana Illy (R$ 5,20). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015. Comer & Beber Vencedor Categoria(s): DOCERIAS",9h/19h (dom. 10h/19h),28,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Estacionamento,-8.0406479,-34.9002722,Visa,,,,3.33,14
Zahil,Comidinhas,Vinhos,PE,"Praça de Casa Forte, 314",Casa Forte,Recife,(81) 3441-7873 e 3034-7873,"A filial da importadora com sede em São Paulo funciona no primeiro andar do restaurante Nez. São 230 rótulos na loja e outros 200 para encomenda, todos procedentes de onze países. Entre as sugestões para levar na hora estão o espanhol Viña Cantarera Tempranillo 2013 (R$ 79,00), o francês Les Hauts de Janeil Chardonnay 2012 (R$ 92,00) e o argentino Signos Malbec 2011 (R$ 60,00), da região de San Juan. Quem comprar o vinho na loja para degustar no restaurante paga rolha de R$ 50,00. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",8h/12h e 14h/19h (fecha sáb. e dom.),38,Dinners,Mastercard,Visa,,Maestro,Visa Electron,,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0331219,-34.9211375,,Estacionamento,,,1.52,123
Estelita Drive,Comidinhas,Comida de rua,PE,Não tem endereço fixo,,Recife,3127-4143,"Extensão móvel da casa de mesmo nome, no bairro Cabanga, o truck circula pelas festinhas descoladas, como as que acontecem nas regiões centrais da cidade - a programação é divulgada na página da marca no Facebook. Dos fogões saem quatro sabores de hambúrgueres artesanais, vendidos a R$ 18,00 cada um. O clássico é complementado com bacon, cebola caramelada, tomate, alface e cheddar. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",,35,Mastercard,Visa,,,Maestro,Rede Shop,Visa Electron,,,,-8.1278509,-34.9059893,,,,,1.01,287
Laça Burguer,Comidinhas,Sanduíches,PE,"Avenida Engenheiro Domingos Ferreira, 3742",Boa Viagem,Recife,(81) 3461-2179,"Entre os preferidos da clientela estão o sanduíche que leva o nome casa, com 100 gramas de hambúrguer bovino, ovo, milho e presunto (R$ 17,50) e a receita preparada com 120 gramas de coração de galinha (R$ 17,00). Ambos são incrementados com queijo prato, alface, tomate e molho à base de maionese. Os mesmos ingredientes compõem o lanche que leva picanha fatiada no pão ciabatta, escoltado por uma porção de batata frita (R$ 26,00). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",11h30/0h (sex. e sáb. até 5h; dom até 1h),24,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.1210102,-34.9011917,,Atividades para crianças,Estacionamento,Valet/Manobrista,3.18,179
Freitas Chocolaterie,Comidinhas,Chocolates,PE,"Avenida 17 de Agosto, 789 - Galeria 789",Casa Forte,Recife,99835-0003,"Antes um quiosque no Shopping Recife, a loja agora ocupa uma sala mais ampla e confortável, no bairro de Casa Forte, na qual os doces de Thiago Freitas continuam a fazer sucesso. A lista de preferidos dos clientes inclui o brigadeiro de bolo de rolo e a pipoca caramelada (R$ 2,90 cada um). Por R$ 3,50, há bombons de diversos sabores. Na linha diet, saem fatias de cheesecake de pêssego com maracujá (R$ 11,00) e de goiaba com ameixa (R$ 11,90). A quiche de alho-poró com tomate seco chega com saladinha de folhas verdes e custa R$ 15,00. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",9h/19h (dom. 10h/16h),32,American Express,Mastercard,Visa,,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.1188813,-34.9064106,,Estacionamento,,,4.8,249
Livraria e Café 17,Comidinhas,Cafés,PE,"Avenida 17 de Agosto, 2579 - loja 1",Casa Forte,Recife,3033-1717,"No menu do café-livraria instalado dentro de uma academia, o expresso (R$ 4,00) divide espaço com sucos e comidinhas leves. Preparada com frutas naturais, a bebida que mistura acerola, limão, gengibre e mel sai por R$ 6,50. No almoço, há saladas como a que leva alface, mussarela de búfala, tomate seco, rúcula, manjericão e queijo parmesão (R$ 20,90). No cair da noite, a sopa do dia (R$ 8,90) entra em cena. Receitas como creme de salmão ou macaxeira com charque se revezam entre as opções. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",6h/23h (sáb. e dom. 8h/16h),23,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.027868,-34.927337,Visa,Estacionamento,Valet/Manobrista,,4.47,74
Juba,Comidinhas,Salgados,PE,"Rua Padre Carapuceiro, 777 - Shopping Recife",Boa Viagem,Recife,(81) 3302-5996,"A batata assada (R$ 20,30) é o carro-chefe da marca. O cliente escolhe três recheios entre 32 opções que incluem frango, catupiry e brócolis. Em seguida é a vez de eleger o molho, que pode ser de tomate, de queijo, à bolonhesa ou à base de vinho tinto. Bacon ou batata palha servem de cobertura. O crepe (R$ 20,30) é montado da mesma maneira e tem quatro recheios disponíveis. Na sobremesa aparece o brownie de calda de chocolate e doce de leite (R$ 8,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",9h/22h (dom. 12h/21h),43,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.1192839,-34.9066126,Visa,Estacionamento,,,1.74,95
Casa de Suco B12,Comidinhas,Sucos,PE,"Avenida Conde da Boa Vista, 250 - loja 14",Boa Vista,Recife,(81) 3222-6035,"O suco poderoso, feito com morango, laranja e banana (R$ 6,50), e o laramanga, de laranja com manga (R$ 6,00), são alguns dos mais procurados desta que foi a primeira casa de sucos do Recife, aberta há trinta anos. Todas as oitenta combinações, servidas em copos de vidro de 450 mililitros, são preparadas com frutas naturais - exceção apenas para as que levam açaí, de polpa. Entre os lanches, o que recebe o nome da casa é feito em pão bola grande e leva hambúrguer, queijo, presunto, ovos e calabresa (R$ 9,50). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",8h/20h30 (sáb. até 17h30; fecha dom. e feriados),28,Dinners,Hipercard,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Ar condicionado,,,-8.0608682,-34.8857418,,,,,1.07,113
Esbarre,Comidinhas,Cafés,PE,"Rua Amélia, 435/2",Graças,Recife,3049-3223,"Entre as criativas opções do cardápio figuram o mocaccino bem-casado, preparado com café, leite condensado, chocolate, leite vaporizado e chantili (R$ 11,70) e o cappuccino Nutella, servido em uma xícara revestida com o creme de avelã, acrescido de canela e chocolate (R$ 8,70). Já o tradicional expresso custa R$ 4,70. Da cozinha saem pratos como a dupla de minihambúrgueres, cobertos por queijo prato e servidos com batata chips (R$ 12,70). Entre as sobremesas, o waffle (R$ 12,70) ganha uma calda de doce de leite ou chocolate. Por um acréscimo de R$ 5,00, o doce chega com uma bola de sorvete. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",10h/22h,57,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,Estacionamento,-8.0452111,-34.9013033,Visa,,,,3.35,138
Barraca da Mainha,Comidinhas,Tapiocas,PE,"Praça de Boa Viagem, s/nº",Boa Viagem,Recife,98727-0168 e 98700-8350,"Em um universo ocupado por mulheres, Sérgio Batista mostra que também sabe botar a mão na massa. Ele aprendeu a fazer tapiocas com a mãe, que vendia o quitute na pracinha de Boa Viagem. No cardápio de 35 sabores, os de camarão com catupiry (R$ 10,00), queijo com frango e bacon (R$ 9,00), coco com castanha e leite condensado (R$ 7,00) e chocolate com morango (R$ 7,50) são queridos pelos clientes, que podem escolher a espessura da tapioca. Os pre��os e demais informações foram apurados entre os meses de abril e junho de 2015.",17h/22h,26,,,,,,,,,,,-8.1260255,-34.9038533,,,,,4.57,96
Della Frutta,Comidinhas,Sorveterias,PE,"R. Ambrósio de Medeiros Delgado, 489",Piedade,Jaboatão dos Guararapes,3462-9347,"Os 120 sabores de sorvete foram criados pelo grego Savas Savidis, que comanda a fábrica há oito anos. Entre os mais pedidos estão os de creme, doce de leite, tapioca, coco, chocolate, Nutella e lambada, que leva queijo do reino e goiabada. Para todos, vale o sistema self-service, a R$ 59,90 o quilo. A marca ainda produz 22 sabores de picolés, incluindo os da linha zero, sem açúcar nem gordura. Foram lançados recentemente o fitness whey (à base de proteína do soro do leite) e o enriquecido com colágeno hidrolisado, ambos nas versões chocolate e morango com pedaços. Cada um custa R$ 6,00. Há uma unidade também em Porto de Galinhas. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",13h/23h,75,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso wireless,Ar condicionado,,-8.1762708,-34.9180338,,,,,1.43,76
Crepe da Vila,Comidinhas,Creperias,PE,"Rua Dona Ada Vieira, 33",Casa Forte,Recife,3039-5894,"Para abrir a refeição, a salada vila boa traz alface, rúcula, tomate seco, parmesão e rosbife (R$ 24,90). Um dos crepes é o vila leopoldina (R$ 25,90), com camarão, cream cheese, queijo brie, geleia de frutas vermelhas e redução de vinho do Porto, servido com alface americana. Da adega sai o argentino Finca La Linda Malbec 2012 (R$ 75,00). Para finalizar, o crepe doce vila alpina (R$ 19,60), com massa de chocolate, é recheado de castanha, sorvete de creme, calda e farofa de biscoito. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",17h/23h (sex. e sáb. 17h30/0h; fecha seg.),79,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.038255,-34.916935,Visa,,,,4.18,69
Caffè Trieste,Comidinhas,Cafés,PE,"Avenida A, 4616 - quadra G1, lote 1A",Paiva,Cabo de Santo Agostinho,99211-3686,"Uma nova unidade foi aberta na Reserva do Paiva. Assim como as outras, trabalha exclusivamente com grãos da grife italiana Illy em receitas como a que intercala camadas de ganache de chocolate com avelã, leite vaporizado e expresso (R$ 9,90). Outra possibilidade é o illy crema, um frozen de café com ganache de chocolate e chantili (R$ 8,50). Pala ladear as xícaras, o cardápio lista tortas, bolos regionais, sanduíches e tapiocas, bem como folhados de calabresa com requeijão e de pera mais canela (R$ 9,90 a unidade). Por R$ 64,90, o chá da tarde para até duas pessoas inclui minipães de queijo, torradas, tortas, bolos e biscoitos, além de chás e cafés. Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",8h/20h,24,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,0,0,,Estacionamento,,,3.62,23
Glu,Comidinhas,Sorveterias,PE,"Rua do Futuro, 858 - sala 4",Graças,Recife,3127-0887,"Ninho trufado, tiramisu e tris di prime (trufa de chocolates meio amargo, ao leite e branco) são os sabores preferidos pela clientela desta casa, especializada em sorvete preparado ao estilo italiano. Os de frutas, como limão-siciliano, amarena e graviola, também fazem sucesso. Cada bola custa R$ 5,90. Novidade, o açaí com banana e granola é servido em tigelas de 300 gramas (R$ 8,90) e 500 gramas (R$ 11,90). A sobremesa fatias de parida é montada com rabanadas ao doce de leite, queijo parmesão e sorvete de alfajor (R$ 19,90). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",13h/22h (dom. a partir de 14h),62,American Express,Dinners,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.03798,-34.9022938,,Estacionamento,,,4.31,158
Estação do Açaí,Comidinhas,Açaí,PE,"Avenida Doutor Malaquias, 77",Aflitos,Recife,3453-3845 e 99171-7035,"Ponto de encontro entre frequentadores do Parque da Jaqueira, a poucos quarteirões dali, o endereço serve o açaí em uma tigela de 500 mililitros acompanhado por banana, granola, mel, xarope de guaraná e leite condensado (R$ 15,00). Na versão tropical, o fruto é servido com kiwi, morango, manga, banana e ameixa (R$ 17,00, 500 mililitros). Há ainda a tigela de creme de abacate, batido com leite e incrementado com banana, granola, mel e xarope de guaraná (R$ 12,00, 500 mililitros). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",9h/16h (fecha sáb. e dom.),51,Dinners,Hipercard,Mastercard,Visa,Maestro,Rede Shop,Visa Electron,Acesso wireless,Estacionamento,,-8.0384985,-34.903145,,,,,3.55,270
Saturday's,Comidinhas,Sanduíches,PE,"Avenida Conselheiro Aguiar, 802",Pina,Recife,3031-7444,"O endereço com decoração inspirada no rock americano lista no cardápio quatorze receitas de hambúrguer grelhado. O prime angus é preparado em pão australiano com 160 gramas de picanha, cebola caramelizada e queijo cheddar (R$ 22,90). Há ainda quinze tipos de temaki, a exemplo do mojo's maki, uma lâmina de salmão maçaricado modelada em forma de cone e recheada de arroz, cream cheese e camarão crocante (R$ 29,90). Entre os doze rótulos de cervejas importadas, destaca-se a japonesa Kirin Ichiban (R$ 9,90, 355 mililitros). Os preços e demais informações foram apurados entre os meses de abril e junho de 2015.",18h/0h (sex. e sáb. até 2h),48,American Express,Dinners,Hipercard,Mastercard,Maestro,Rede Shop,Visa Electron,Acesso para deficientes,Acesso wireless,Ar condicionado,-8.0974748,-34.88747,Visa,Estacionamento,Valet/Manobrista,,2.29,165
